fin_year,month,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Oct,TAMIL NADU,2934,RANIPET,1915204,282.870679,20,1713,1294.38388,6346,0,4275,2587977,676565,54930,41132,2408,181.26495,8796.276941,126034,134938,159310,220685,46,184593,250157,10621,7320.628111,2332092,56,45.81,62.46,100,0
2025-2026,Oct,TAMIL NADU,2908,NAMAKKAL,1357444,277.9121973,17,2365,1298.326299,6054,0,3799,1776049,484587,63694,138185,20858,315.87462,6550.05772,99810,104290,182443,227845,16,221146,277360,9853,4935.856801,1579830,34,46.91,72.48,100,0
2025-2026,Oct,TAMIL NADU,2915,TIRUVARUR,870333,311.8468476,12,600,1858.606601,8234,0,4016,631558,273986,145077,82,39,307.56339,4135.663705,49631,57925,179545,271901,8,198029,294041,12250,1969.493714,487417,52,25.56,23.97,100,0
2025-2026,Oct,TAMIL NADU,2920,MADURAI,3244520,278.8004111,19,3812,4015.58343,8864,0,9234,3964617,819364,67334,5507,673,324.66285,15393.61477,206783,219577,274127,322830,10,302356,363945,18098,11053.36849,3512707,58,52.94,60.28,100,0
2025-2026,Oct,TAMIL NADU,2904,VILLUPURAM,4839831,251.4320674,21,9576,3814.127938,12094,0,10334,7340331,2132116,177963,94317,6986,535.05586,22805.12979,342922,376581,431668,604328,70,462807,648069,22428,18455.94599,6052162,58,56.9,63.84,100,0
2025-2026,Oct,TAMIL NADU,2914,NAGAPATTINAM,809850,297.5611337,13,424,1606.70206,5395,0,3137,759989,338643,82959,834,250,137.32059,4005.454534,57822,66034,107263,165711,17,120250,181181,8532,2261.431885,602990,72,33.76,36.11,100.01,0
2025-2026,Oct,TAMIL NADU,2919,PUDUKKOTTAI,3609324,259.3690054,18,1378,2977.387062,6920,0,8691,3841608,681472,82237,3713,93,444.97163,13386.29915,202797,215092,294535,425488,30,334330,476677,15611,9963.940461,3464738,46,32.82,70.64,100,0
2025-2026,Oct,TAMIL NADU,2921,THENI,680060,312.2351501,17,918,770.4999383,2905,0,2855,868065,211992,25445,3036,206,135.45989,3616.363884,49901,53581,85555,104288,11,116819,138776,5760,2710.404055,733606,55,53.23,65.82,100,0
2025-2026,Oct,TAMIL NADU,2923,RAMANATHAPURAM,2596426,244.3424541,22,3859,2250.254431,6547,0,10460,3156545,777823,63002,242,23,301.56363,10264.59758,142999,152439,199367,245973,20,224173,273163,17007,7712.779516,2786727,59,51.04,58.63,100,0
2025-2026,Oct,TAMIL NADU,2924,VIRUDHUNAGAR,2765016,269.9411909,22,3302,2327.040599,3785,0,4495,3037835,860339,76270,689,150,279.41035,10806.81893,134190,142290,217547,267154,99,248954,301413,8280,8200.367977,2612784,33,37.12,78.18,100,0
2025-2026,Oct,TAMIL NADU,2930,KRISHNAGIRI,2752248,276.5864321,20,1968,3417.441622,8372,0,6758,3191107,425622,38924,28374,2820,371.58436,12615.19498,155779,162204,256386,287690,33,297002,335088,15130,8826.168997,2914942,70,46,64.24,100,0
2025-2026,Oct,TAMIL NADU,2901,KANCHIPURAM,901715,295.7113357,18,990,1178.558888,4292,0,4310,1478914,569667,57517,23987,2560,217.90567,5769.780901,80976,83699,129296,157819,34,142299,178863,8602,4373.316343,1293677,63,45.54,62.21,100,0
2025-2026,Oct,TAMIL NADU,2916,TIRUCHIRAPPALLI,1988872,280.2030729,12,4356,2011.897614,7933,0,4982,2749915,588423,83452,31794,5121,305.37787,10022.62182,216881,228632,303812,376896,15,325366,405070,12915,7705.346333,2401102,50,48.36,65.08,100,0
2025-2026,Oct,TAMIL NADU,2919,PUDUKKOTTAI,3609324,260.9924174,18,1367,2964.760797,6781,0,8712,3686138,654892,82223,3758,98,444.97163,13030.2731,201248,213278,294510,425435,24,334256,476579,15493,9620.540674,3324885,46,31.94,70.25,100,0
2025-2026,Oct,TAMIL NADU,2920,MADURAI,3244520,278.5697864,19,3812,4015.58343,8850,0,9106,3964451,819334,67335,5507,674,324.66285,15384.00896,206783,219577,274097,322802,10,302251,363841,17956,11043.76268,3512566,58,53.22,60.57,100,0
2025-2026,Oct,TAMIL NADU,2932,TIRUPPUR,1470706,279.3085881,26,481,1197.909555,5135,0,4199,1676455,596083,62613,1027,208,181.01412,6061.406467,63991,65940,134863,159827,180,179439,230965,9334,4682.482791,1441168,45,36.52,75.35,100,0
2025-2026,Oct,TAMIL NADU,2933,CHENGALPATTU,2017627,306.3441907,21,2659,1588.691097,7398,0,7118,2696507,1144236,104274,59004,4376,272.77481,10122.05845,125168,129650,196187,240577,121,220529,280465,14516,8260.592547,2386125,57,32.11,65.34,100,0
2025-2026,Oct,TAMIL NADU,2934,RANIPET,1915204,288.4748009,20,1709,1294.38388,6291,0,4254,2515103,654273,54920,39798,2408,181.26495,8731.087201,125677,134498,159265,220627,40,184552,250106,10545,7255.438372,2266282,57,45.85,62.06,100,0
2025-2026,Oct,TAMIL NADU,2901,KANCHIPURAM,901715,295.6198074,18,996,1178.558888,4378,0,4354,1539542,593149,57538,25126,2560,217.90567,5947.655654,81871,84662,129332,157885,41,142339,178938,8732,4551.191096,1345747,63,45.5,61.93,100,0
2025-2026,Oct,TAMIL NADU,2909,DHARMAPURI,2108771,282.9488258,15,1741,2047.10575,5955,0,8076,2376920,312414,37880,93674,8456,267.35049,9039.923471,151374,158869,243221,278145,13,277947,315186,14031,6725.46723,2190072,63,65.62,71.67,100,0
2025-2026,Oct,TAMIL NADU,2910,ERODE,1051142,296.2519995,20,1671,1476.630426,5987,0,4201,1430840,373492,46248,16931,2976,239.22371,5954.746246,68726,70515,141617,164963,33,193181,226010,10188,4238.89211,1204293,60,57.24,68.94,100,0
2025-2026,Oct,TAMIL NADU,2915,TIRUVARUR,870333,311.4039004,12,596,1858.606601,8188,0,4021,628860,272785,145077,76,39,307.56339,4124.464559,49514,57790,179544,271897,8,198015,294021,12209,1958.294568,485329,52,25.95,24.33,100,0
2025-2026,Oct,TAMIL NADU,2917,KARUR,1384772,298.6246141,19,1358,613.9800545,4511,0,3294,1426249,327697,36557,175,26,163.8106,5036.921227,71692,75728,124487,155548,22,143199,178172,7805,4259.130573,1253081,64,48.09,88.45,100,0
2025-2026,Oct,TAMIL NADU,2920,MADURAI,3244520,275.9536516,19,3809,4015.58343,8771,0,9128,3952716,816673,67328,5507,674,324.66285,15247.91042,206720,219504,274087,322786,10,302194,363771,17899,10907.66414,3501915,59,53.35,60.74,100,0
2025-2026,Oct,TAMIL NADU,2925,SIVAGANGAI,2379168,264.8153055,22,2192,4133.550013,4856,0,9074,2986630,612229,45850,208,19,365.36419,12407.96756,134339,139644,187000,222276,9,203325,240205,13930,7909.053358,2725922,38,63.64,65.14,100,0
2025-2026,Oct,TAMIL NADU,2934,RANIPET,1915204,281.5105277,19,1706,1294.38388,6277,0,4259,2498972,650910,54920,39307,2408,181.26495,8510.518094,125539,134344,159259,220617,38,184520,250073,10536,7034.869265,2251665,57,45.91,61.97,100,0
2025-2026,Oct,TAMIL NADU,2935,TIRUPATHUR,1107287,291.1694654,16,885,725.4121999,6078,0,5738,1234126,226373,25564,26385,5066,171.19481,4490.005086,76050,79758,130212,150186,5,142447,164947,11816,3593.398076,1125594,69,28.64,58.54,100,0
2025-2026,Oct,TAMIL NADU,2907,SALEM,1842539,282.4676202,15,2737,4547.358928,11502,0,7054,2677478,500679,81609,230543,30436,432.40643,12542.77375,170525,178733,343695,426063,26,439206,533088,18556,7563.008389,2381157,54,28.49,53.34,100,0
2025-2026,Oct,TAMIL NADU,2918,PERAMBALUR,1056885,282.5218864,15,1136,885.8062004,1898,0,2102,1366877,399188,55439,7022,497,102.98241,4850.515295,89723,100163,123503,175939,17,143330,198592,4000,3861.726685,1158695,58,57.91,64.87,100,0
2025-2026,Oct,TAMIL NADU,2935,TIRUPATHUR,1107287,291.9222227,17,908,728.0421999,6198,0,5710,1341445,247848,25572,29791,5073,171.19481,4815.21307,77870,81741,130260,150250,7,142509,165016,11908,3915.97606,1223512,69,30.57,60.07,100,0
2025-2026,Oct,TAMIL NADU,2910,ERODE,1051142,296.4229347,21,1681,1476.630426,6300,0,3962,1519601,395479,46211,18010,2977,239.22371,6220.300016,69996,71859,141614,164914,66,193121,225901,10262,4504.44588,1277954,60,57.17,68.87,100,0
2025-2026,Oct,TAMIL NADU,2911,COIMBATORE,398647,316.0415932,21,142,1242.727952,4657,0,3098,631918,239836,29199,13444,1852,209.3264,3449.178067,29718,30218,75379,84415,4,110223,123420,7755,1997.123715,578249,55,63.06,63.94,100,0
2025-2026,Oct,TAMIL NADU,2914,NAGAPATTINAM,809850,297.8366065,13,432,1606.70206,5482,0,3119,778682,346478,82840,834,250,137.32059,4063.222694,58589,66862,107235,165554,17,120212,181015,8601,2319.200045,618313,72,33.87,36.22,100.01,0
2025-2026,Oct,TAMIL NADU,2918,PERAMBALUR,1056885,281.4646581,15,1138,885.8062004,1925,0,2117,1384886,403632,55440,7138,497,102.98241,4886.753255,90175,100678,123519,175952,17,143352,198611,4042,3897.964645,1174036,57,57.48,64.44,100,0
2025-2026,Oct,TAMIL NADU,2928,KANNIYAKUMARI,372202,312.8154625,25,366,577.9975512,2895,1,1983,589024,48708,4256,6726,444,143.64866,2564.204361,23014,24259,40280,50796,24,78543,97539,4878,1842.55815,481946,70,56.3,55.32,100,0
2025-2026,Oct,TAMIL NADU,2935,TIRUPATHUR,1107287,290.6220591,17,928,728.0421999,6248,0,5684,1378914,255535,25575,30768,5072,171.19481,4906.665271,79000,83003,130275,150273,8,142539,165055,11932,4007.428261,1258067,69,31.11,59.86,100,0
2025-2026,Oct,TAMIL NADU,2901,KANCHIPURAM,901715,295.628065,19,999,1178.558888,4520,0,4280,1572714,605664,57543,25911,2565,217.90567,6045.848524,82556,85412,129363,157919,55,142360,178966,8800,4649.383966,1374342,63,45.74,62.16,100,0
2025-2026,Oct,TAMIL NADU,2904,VILLUPURAM,4839831,253.4547861,21,9596,3814.127938,12634,0,10241,7441751,2159109,177938,96328,6982,535.21607,23210.81809,344067,378130,431636,604272,86,462837,648084,22875,18861.47408,6133844,58,56.13,62.8,100,0
2025-2026,Oct,TAMIL NADU,2905,VELLORE,959042,292.8666672,18,1111,1524.44414,7106,0,6217,1370620,382347,38027,32235,4657,194.3352,5732.868454,73655,77270,133470,156399,3,147471,186837,13323,4014.089114,1217249,72,20.31,48.26,100,0
2025-2026,Oct,TAMIL NADU,2919,PUDUKKOTTAI,3609324,264.0878722,19,1391,2983.610109,7137,0,8968,3927896,695119,82262,4603,98,444.97163,13801.67871,204266,216803,294591,425554,35,334483,476844,16105,10373.09697,3540168,45,33.33,70.57,100,0
2025-2026,Oct,TAMIL NADU,2922,DINDIGUL,2628453,309.7995598,22,3624,4309.323949,13656,0,8637,4016488,1002308,83811,3445,387,547.39185,17299.77794,182336,193314,284533,345173,45,317179,380220,22293,12443.06214,3450036,71,51.86,75.89,100,0
2025-2026,Oct,TAMIL NADU,2934,RANIPET,1915204,287.9226499,21,1727,1294.38388,6498,0,4270,2715926,708289,54965,43646,2410,181.26495,9295.414939,127282,136463,159428,220849,57,184674,250274,10768,7819.766109,2446229,56,45.61,62.78,100,0
2025-2026,Oct,TAMIL NADU,2935,TIRUPATHUR,1107287,291.1492212,17,929,728.0421999,6268,0,5721,1385682,256544,25580,30789,5074,171.19481,4933.639361,79143,83161,130309,150316,8,142546,165066,11989,4034.402351,1264218,69,31.23,59.97,100,0
2025-2026,Oct,TAMIL NADU,2936,TENKASI,1252913,294.7401672,19,1433,1213.102827,5153,0,3219,1557130,445858,62691,373,74,181.13794,5983.728332,80942,88947,139957,191178,18,165301,220214,8372,4589.487565,1279754,59,27.95,62.12,100,0
2025-2026,Oct,TAMIL NADU,2903,CUDDALORE,4359936,263.0730065,18,5414,4582.386255,7971,0,13476,5502675,2025699,254040,31460,3525,497.59085,19556.02967,304904,359436,421857,681380,35,472551,742945,21447,14476.05256,4456929,49,60.27,66.7,100,0
2025-2026,Oct,TAMIL NADU,2904,VILLUPURAM,4839831,253.0626243,21,9581,3814.127938,12105,0,10467,7383400,2142849,177949,95261,6987,535.21607,23033.96981,343269,377067,431666,604312,77,462784,648031,22572,18684.6258,6086509,58,56.41,63.22,100,0
2025-2026,Oct,TAMIL NADU,2906,TIRUVANNAMALAI,7049847,199.4224568,21,15056,4274.625765,10041,0,10620,8593475,1945667,149962,262314,27610,760.97405,22172.91878,402970,433779,513910,658012,161,541761,688035,20661,17137.31897,7138758,50,56.91,63.01,100,0
2025-2026,Oct,TAMIL NADU,2919,PUDUKKOTTAI,3609324,263.3906193,19,1384,2977.423163,7048,0,8704,3866169,685348,82247,3713,98,444.97163,13605.52127,203290,215667,294567,425537,30,334355,476719,15752,10183.12647,3486069,46,33.05,70.48,100,0
2025-2026,Oct,TAMIL NADU,2920,MADURAI,3244520,278.6032232,20,3840,4015.58343,8969,0,9351,4194228,868105,67362,6059,673,324.66285,16025.50068,208342,221325,274229,322979,11,302610,364247,18320,11685.2544,3716324,57,53.88,61.17,100,0
2025-2026,Oct,TAMIL NADU,2921,THENI,680060,313.0834051,17,918,770.4999383,2957,0,2861,870626,212677,25456,3049,206,135.45989,3631.745355,49981,53664,85589,104333,11,116825,138784,5818,2725.785526,735919,54,53.34,65.95,100,0
2025-2026,Oct,TAMIL NADU,2925,SIVAGANGAI,2379168,265.9409569,23,2221,4133.550013,4901,0,9291,3184312,653627,45869,208,19,365.36419,12967.30401,135860,141404,187067,222367,15,203424,240324,14192,8468.389803,2905239,38,63.28,64.8,100,0
2025-2026,Oct,TAMIL NADU,2926,TIRUNELVELI,1100420,288.4018405,25,362,1642.648208,3615,0,4195,1163525,303673,34001,1369,139,181.85278,5180.128503,45278,46688,97216,114600,31,120688,140279,7810,3355.627515,1055942,44,37.04,58.44,100,0
2025-2026,Oct,TAMIL NADU,2931,ARIYALUR,1380542,286.7598854,13,1225,1538.764893,4261,0,3409,1776798,379217,56669,23848,3026,136.10335,6770.012151,132339,152765,180457,255758,8,192521,269150,7670,5095.143908,1442704,51,56.5,60.8,100,0
2025-2026,Oct,TAMIL NADU,2934,RANIPET,1915204,288.0483478,20,1716,1294.38388,6430,0,4265,2649185,691365,54935,42108,2409,181.26495,9106.582453,126577,135602,159348,220747,51,184621,250208,10695,7630.933624,2386399,56,45.99,62.97,100,0
2025-2026,Oct,TAMIL NADU,2938,MAYILADUTHURAI,918657,272.4516039,11,632,1576.882058,4233,0,5052,1014649,463973,106696,695,277,143.69337,4485.002903,85520,104986,153520,234140,4,162630,244418,9285,2764.427475,797784,60,48.9,48.54,100,0
2025-2026,Oct,TAMIL NADU,2903,CUDDALORE,4359936,262.5765086,18,5440,4582.386255,8090,0,13439,5570293,2047564,254060,32077,3530,497.59085,19706.25798,306518,361730,421871,681520,38,472715,743303,21529,14626.28088,4511706,49,60.35,66.75,100,0
2025-2026,Oct,TAMIL NADU,2910,ERODE,1051142,296.8964782,21,1681,1476.630426,6317,0,3971,1519863,395479,46211,18014,2977,239.22371,6228.273856,70028,71892,141607,164906,66,193114,225893,10288,4512.41972,1278185,60,57.16,68.87,100,0
2025-2026,Oct,TAMIL NADU,2911,COIMBATORE,398647,316.0570355,21,142,1242.727952,4662,0,3094,632142,239903,29203,13512,1852,209.3264,3449.983617,29722,30222,75383,84419,4,110225,123422,7756,1997.929265,578430,55,63.05,63.92,100,0
2025-2026,Oct,TAMIL NADU,2912,THE NILGIRIS,279392,335.1822713,24,143,311.6725686,2500,0,2022,254758,83900,11932,34335,3878,103.72467,1269.300889,10478,11283,31708,40461,3,56439,69031,4522,853.9036507,201386,86,27,23.4,100,0
2025-2026,Oct,TAMIL NADU,2917,KARUR,1384772,299.4361031,21,1419,613.9800545,4620,0,3385,1603591,367947,36585,191,26,163.8106,5579.521054,75756,80158,124584,155677,38,143259,178259,8005,4801.730399,1408998,63,49.59,88.51,100,0
2025-2026,Oct,TAMIL NADU,2926,TIRUNELVELI,1100420,289.2031336,25,371,1642.648208,3650,0,4178,1185899,309756,34005,1387,139,181.85278,5254.158057,46047,47501,97240,114631,33,120701,140297,7828,3429.657069,1076250,44,37.56,58.87,100,0
2025-2026,Oct,TAMIL NADU,2930,KRISHNAGIRI,2752248,276.0765088,20,1999,3417.441622,8464,0,6795,3306949,444002,38954,29399,2823,371.58436,12918.73533,157919,164478,256505,287834,37,297171,335306,15259,9129.709348,3020278,70,46.06,64.3,100,0
2025-2026,Oct,TAMIL NADU,2931,ARIYALUR,1380542,285.0041555,13,1245,1538.764893,4286,0,3403,1814885,387620,56676,24131,3026,136.10335,6847.365911,133902,154844,180481,255801,14,192536,269183,7689,5172.497668,1472579,50,56.24,60.39,100,0
2025-2026,Oct,TAMIL NADU,2937,KALLAKURICHI,1864273,278.2334165,17,3332,4284.348721,10740,0,8135,3707812,1155856,160573,119160,20903,268.3414,14869.06213,214509,268983,297447,510427,75,317728,535207,18875,10316.37201,2788526,47,44.46,48.79,100.01,0
2025-2026,Oct,TAMIL NADU,2903,CUDDALORE,4359936,262.9446691,18,5414,4582.386255,7992,0,13476,5513009,2029294,254016,31598,3526,497.59085,19576.14038,305079,359700,421832,681365,36,472561,742980,21468,14496.16327,4465128,49,60.27,66.7,100,0
2025-2026,Oct,TAMIL NADU,2905,VELLORE,959042,292.8938271,18,1103,1524.35914,7075,0,6167,1344915,374106,38021,31392,4657,194.3302,5657.862354,72946,76530,133456,156378,3,147443,186802,13242,3939.173014,1194407,72,20.17,48.02,100,0
2025-2026,Oct,TAMIL NADU,2907,SALEM,1842539,280.2596479,15,2773,4547.358928,11561,0,7023,2722860,510366,81613,233256,30437,432.40643,12610.84321,171941,180283,343718,426093,33,439233,533119,18584,7631.077849,2421528,54,28.68,53.72,100,0
2025-2026,Oct,TAMIL NADU,2912,THE NILGIRIS,279392,333.2908169,24,142,311.6725686,2485,0,2007,253610,83636,11927,33947,3878,103.72467,1260.656079,10463,11266,31702,40448,3,56414,68995,4492,845.2588407,200535,86,27.01,23.4,100,0
2025-2026,Oct,TAMIL NADU,2916,TIRUCHIRAPPALLI,1988872,276.7051743,13,4441,2011.897614,8101,0,5141,2972717,634423,83512,34276,5121,305.37787,10542.93724,221154,233711,303974,377208,17,325824,405703,13242,8225.661757,2595785,49,49.15,65.65,100,0
2025-2026,Oct,TAMIL NADU,2917,KARUR,1384772,297.6968582,20,1401,613.9800545,4587,0,3359,1556739,357883,36576,191,26,163.8106,5412.153747,74378,78629,124557,155640,31,143239,178234,7946,4634.363093,1368043,63,49.38,88.54,100,0
2025-2026,Oct,TAMIL NADU,2927,THOOTHUKKUDI,2051884,264.7823924,22,1880,1808.661655,3817,0,5143,2462683,802059,59295,1358,159,355.88957,8685.30219,107433,113417,151717,179956,43,172986,214933,8960,6520.750965,2186344,34,51.45,54.81,100,0
2025-2026,Oct,TAMIL NADU,2913,THANJAVUR,2006948,247.880577,17,2640,1969.725117,8596,0,7952,3376526,1017130,117392,2508,135,423.77811,10763.25536,188856,212910,273485,368792,96,299968,398270,16548,8369.752133,2895059,50,63.67,61.76,100,0
2025-2026,Oct,TAMIL NADU,2916,TIRUCHIRAPPALLI,1988872,280.2017534,13,4456,2011.897614,8113,0,5131,2998038,639769,83540,34568,5121,305.37787,10717.83053,221753,234431,304062,377365,17,325976,405928,13244,8400.555043,2617503,49,49.34,65.78,100,0
2025-2026,Oct,TAMIL NADU,2921,THENI,680060,311.7549809,17,923,770.4999383,2962,0,2859,879178,215434,25463,3144,206,135.45989,3646.841035,50137,53836,85609,104359,14,116850,138817,5821,2740.881206,742788,54,53.47,66.04,100,0
2025-2026,Oct,TAMIL NADU,2923,RAMANATHAPURAM,2596426,243.5047039,22,3887,2250.254431,6760,0,10335,3233425,796289,63008,245,23,301.56363,10425.36003,144480,154092,199385,245994,24,224179,273168,17095,7873.541971,2855865,59,51.39,59.05,100,0
2025-2026,Oct,TAMIL NADU,2927,THOOTHUKKUDI,2051884,266.0694439,22,1880,1808.661655,3823,0,5155,2469698,804183,59298,1358,159,355.88957,8735.66296,107571,113572,151735,179977,43,172993,214944,8978,6571.111735,2192686,34,51.28,54.62,100,0
2025-2026,Oct,TAMIL NADU,2935,TIRUPATHUR,1107287,290.8734759,17,917,728.0421999,6237,0,5694,1358729,251572,25573,30397,5073,171.19481,4851.41928,78382,82313,130272,150267,7,142537,165050,11931,3952.18227,1239572,69,30.6,59.65,100,0
2025-2026,Oct,TAMIL NADU,2937,KALLAKURICHI,1864273,277.8945812,17,3310,4284.348721,10710,0,8134,3644393,1134215,160605,118938,20894,268.3414,14680.26079,212554,266018,297378,510484,70,317697,535303,18844,10127.57067,2741239,47,44.24,48.44,100.01,0
2025-2026,Oct,TAMIL NADU,2938,MAYILADUTHURAI,918657,272.5886485,11,632,1576.882058,4322,0,4980,1018663,465541,106658,717,277,143.69337,4497.335133,85603,105100,153503,234085,4,162624,244372,9302,2776.759705,800920,60,48.68,48.32,100,0
2025-2026,Dec,TAMIL NADU,2901,KANCHIPURAM,1126193,295.708491,21,1036,1179.715933,4982,0,4065,1840763,705841,57361,32231,2570,218.70567,6841.714093,85282,88463,129230,157722,96,142237,178786,9047,5443.29249,1606637,63,47.69,64.6,100,0
2025-2026,Dec,TAMIL NADU,2907,SALEM,2295126,278.5438861,17,2910,4553.063669,12097,0,6767,3280238,610021,80387,279813,30335,433.32541,14123.29148,183492,192928,342143,422575,82,436948,528755,18864,9136.902397,2919299,54,31.08,57.46,100,0
2025-2026,Dec,TAMIL NADU,2911,COIMBATORE,452232,313.9121996,25,151,1252.165031,5002,0,2923,799808,302900,29142,18110,1867,209.92733,3972.787246,31886,32448,75378,84381,31,110142,123297,7925,2510.694885,732015,54,66.91,67.86,100,0
2025-2026,Dec,TAMIL NADU,2914,NAGAPATTINAM,874856,296.2131958,14,469,1606.83706,5963,0,2897,921521,405986,82072,857,249,137.65064,4474.154503,62990,71874,107121,164616,38,119915,179817,8860,2729.666804,736919,71,37.67,39.92,100.01,0
2025-2026,Dec,TAMIL NADU,2916,TIRUCHIRAPPALLI,2575940,281.5834493,16,4656,2035.87816,8883,0,5253,3765674,790661,83620,41386,5129,306.36583,12945.75873,231119,245741,304461,378196,62,327080,407566,14136,10603.51474,3288623,46,54.71,69.8,100,0
2025-2026,Dec,TAMIL NADU,2920,MADURAI,4156192,275.8810163,24,3950,4024.549771,10157,0,8944,5342536,1104496,67364,8583,677,325.09089,19088.68327,215504,229689,274612,323826,84,304411,366628,19101,14739.04261,4730128,55,57.43,64.91,100,0
2025-2026,Dec,TAMIL NADU,2928,KANNIYAKUMARI,474389,304.3837048,31,382,578.4773512,3391,1,1585,744579,60759,4170,10383,442,143.9587,2988.813197,23991,25281,39793,50048,37,77819,96513,4976,2266.377146,612724,69,60.6,59.78,100,0
2025-2026,Dec,TAMIL NADU,2930,KRISHNAGIRI,3441643,276.4568587,24,2119,3418.923446,9381,0,6857,4103722,556648,38938,36979,2832,373.13005,15137.07443,168975,176277,256704,288069,134,297264,335433,16238,11345.02093,3752588,66,48.6,67.52,100,0
2025-2026,Dec,TAMIL NADU,2906,TIRUVANNAMALAI,8770658,205.047796,25,15359,4335.978328,12969,0,10488,10403130,2358847,147820,328488,27528,762.27213,26429.63924,412551,446396,509918,650109,446,538036,680465,23457,21331.38878,8667329,46,60.14,66.18,100,0
2025-2026,Dec,TAMIL NADU,2912,THE NILGIRIS,324052,332.0052291,25,160,311.8505686,3034,0,2012,315175,99501,11891,46190,4008,103.84341,1462.091459,12342,13254,31793,40468,13,56289,68754,5046,1046.397481,250367,87,27.66,26.16,100,0
2025-2026,Dec,TAMIL NADU,2903,CUDDALORE,5878235,264.1788437,20,5665,4672.62051,9348,0,13274,6499751,2351495,254483,37802,3551,506.18376,22349.7713,321685,383161,422621,683282,75,473931,745662,22622,17170.96703,5264020,50,62.64,68.56,100,0
2025-2026,Dec,TAMIL NADU,2915,TIRUVARUR,1068294,299.5708488,12,829,1860.175911,8769,0,4528,855474,380034,143445,111,39,308.09564,4731.022274,66300,77053,178891,269451,15,197208,291429,13297,2562.750723,663440,50,31.42,29.62,100,0
2025-2026,Dec,TAMIL NADU,2919,PUDUKKOTTAI,4673429,267.855604,22,1508,3076.358863,7762,0,9440,5014516,883287,82371,5715,109,445.69271,16953.71369,219418,234333,295136,426216,92,334986,477402,17202,13431.66212,4518393,42,41.89,75.49,100,0
2025-2026,Dec,TAMIL NADU,2936,TENKASI,1515648,294.3093328,21,1471,1218.421978,5642,0,2931,1752206,506702,61051,441,74,181.66526,6556.993026,83377,91954,137424,186464,59,162312,214973,8573,5156.905788,1432963,59,30.49,63.87,100,0
2025-2026,Dec,TAMIL NADU,2912,THE NILGIRIS,324052,333.5830271,25,161,311.8505686,3034,0,2017,318716,100370,11898,46856,4014,103.84341,1478.876459,12405,13323,31818,40502,13,56289,68756,5051,1063.182481,253336,87,27.72,26.33,100,0
2025-2026,Dec,TAMIL NADU,2916,TIRUCHIRAPPALLI,2575940,279.214706,16,4684,2059.9194,8940,0,5309,3861490,811308,83569,41972,5129,306.48583,13148.25318,232295,247211,304354,378053,68,326996,407446,14249,10781.84795,3372103,46,55.29,70.16,100,0
2025-2026,Dec,TAMIL NADU,2924,VIRUDHUNAGAR,3646235,267.4536749,26,3540,2326.234622,4179,0,5277,3875354,1086022,76500,1308,164,279.43614,12970.44745,147798,157554,218265,268174,239,249762,302504,9456,10364.77669,3343297,30,44.01,81.48,100,0
2025-2026,Dec,TAMIL NADU,2927,THOOTHUKKUDI,2419391,264.5877807,26,1955,1895.303597,4269,0,6046,3006100,983237,59388,1687,163,356.70975,10205.78662,112832,119535,152032,180375,119,173157,215193,10315,7953.773275,2665714,31,55.26,58.65,100,0
2025-2026,Dec,TAMIL NADU,2934,RANIPET,2293123,281.8928044,25,1797,1334.967791,7047,0,4134,3368024,869112,55054,51759,2415,181.47642,11010.66152,130647,140677,159836,221388,157,185061,250770,11181,9494.217307,3034406,55,45.79,66.19,100.01,0
2025-2026,Dec,TAMIL NADU,2908,NAMAKKAL,1644309,284.344485,22,2541,1299.656985,6152,0,5340,2410219,659578,63650,179887,20731,318.17596,8471.157747,108099,113590,182506,227730,103,221056,277055,11492,6853.324802,2145825,29,52,76.91,100,0
2025-2026,Dec,TAMIL NADU,2911,COIMBATORE,452232,313.4602795,24,150,1252.165031,4980,0,2944,795722,300951,29139,18021,1867,209.92733,3956.364766,31840,32402,75372,84375,31,110138,123293,7924,2494.272405,728262,54,66.81,67.77,100,0
2025-2026,Dec,TAMIL NADU,2919,PUDUKKOTTAI,4673429,261.2761725,22,1493,2984.666569,7707,0,9388,4914771,867825,82351,5641,109,445.65968,16271.4518,217402,231980,295063,426126,82,334947,477364,17095,12841.12555,4428286,43,41.08,75.09,100,0
2025-2026,Dec,TAMIL NADU,2920,MADURAI,4156192,277.037923,24,3945,4024.517881,10147,0,8943,5273193,1089844,67398,8501,677,325.09089,18958.35313,214930,228984,274649,323894,73,304397,366643,19090,14608.74436,4670223,55,57.26,64.69,100,0
